Site,Treatment,Yr_Month,Site_ym,Blackbear,Wolf,Coyote,Lynx,Caribou,WTDeer,Moose,Year,Month,ActiveDays,Dist2Water_km,SnowDays,pSnow
Algar03,Control,2015-12,Algar03 2015-12,0,0,0,0,0,0,0,2015,12,31,0.110385348,31,1
Algar03,Control,2016-01,Algar03 2016-01,0,0,0,0,0,0,0,2016,1,31,0.110385348,31,1
Algar03,Control,2016-02,Algar03 2016-02,0,0,0,0,0,0,0,2016,2,29,0.110385348,29,1
Algar03,Control,2016-03,Algar03 2016-03,0,0,0,0,0,0,0,2016,3,31,0.110385348,31,1
Algar03,Control,2016-04,Algar03 2016-04,0,0,1,1,2,0,0,2016,4,30,0.110385348,13,0.433333333
Algar03,Control,2016-05,Algar03 2016-05,1,2,0,0,0,1,0,2016,5,31,0.110385348,0,0
Algar03,Control,2016-06,Algar03 2016-06,5,0,0,0,0,0,0,2016,6,30,0.110385348,0,0
Algar03,Control,2016-07,Algar03 2016-07,1,0,0,0,0,1,0,2016,7,31,0.110385348,0,0
Algar03,Control,2016-08,Algar03 2016-08,0,0,0,1,0,0,1,2016,8,31,0.110385348,0,0
Algar03,Control,2016-09,Algar03 2016-09,1,2,0,0,0,0,0,2016,9,30,0.110385348,0,0
Algar03,Control,2016-10,Algar03 2016-10,0,0,0,0,0,0,0,2016,10,31,0.110385348,23,0.741935484
Algar03,Control,2016-11,Algar03 2016-11,0,1,0,0,0,0,0,2016,11,30,0.110385348,20,0.666666667
Algar03,Control,2016-12,Algar03 2016-12,0,0,0,0,0,0,0,2016,12,31,0.110385348,31,1
Algar03,Control,2017-01,Algar03 2017-01,0,0,0,1,0,0,0,2017,1,31,0.110385348,31,1
Algar03,Control,2017-02,Algar03 2017-02,0,0,0,0,0,0,0,2017,2,28,0.110385348,28,1
Algar03,Control,2017-03,Algar03 2017-03,0,0,0,0,0,0,0,2017,3,31,0.110385348,31,1
Algar03,Control,2017-04,Algar03 2017-04,1,1,0,0,0,0,0,2017,4,30,0.110385348,10,0.333333333
Algar03,Control,2017-05,Algar03 2017-05,0,0,0,1,1,0,0,2017,5,31,0.110385348,0,0
Algar03,Control,2017-06,Algar03 2017-06,2,0,0,0,0,0,0,2017,6,30,0.110385348,0,0
Algar03,Control,2017-07,Algar03 2017-07,0,0,0,0,0,0,0,2017,7,31,0.110385348,0,0
Algar03,Control,2017-08,Algar03 2017-08,0,0,0,1,0,0,0,2017,8,31,0.110385348,0,0
Algar03,Control,2017-09,Algar03 2017-09,0,0,0,0,0,0,0,2017,9,30,0.110385348,0,0
Algar03,Control,2017-10,Algar03 2017-10,0,0,0,0,0,0,0,2017,10,31,0.110385348,11,0.35483871
Algar03,Control,2017-11,Algar03 2017-11,0,0,0,0,0,0,0,2017,11,30,0.110385348,28,0.933333333
Algar03,Control,2017-12,Algar03 2017-12,0,1,0,0,0,0,0,2017,12,31,0.110385348,31,1
Algar03,Control,2018-01,Algar03 2018-01,0,0,0,1,0,0,2,2018,1,31,0.110385348,31,1
Algar03,Control,2018-02,Algar03 2018-02,0,0,0,0,1,0,0,2018,2,28,0.110385348,28,1
Algar03,Control,2018-03,Algar03 2018-03,0,0,0,0,0,0,0,2018,3,31,0.110385348,31,1
Algar03,Control,2018-04,Algar03 2018-04,0,0,0,0,0,0,0,2018,4,7,0.110385348,6,0.857142857
Algar04,Control,2015-11,Algar04 2015-11,0,0,0,0,0,3,0,2015,11,26,0.977692171,15,0.576923077
Algar04,Control,2015-12,Algar04 2015-12,0,0,0,0,0,1,0,2015,12,31,0.977692171,31,1
Algar04,Control,2016-01,Algar04 2016-01,0,0,0,0,0,1,0,2016,1,31,0.977692171,31,1
Algar04,Control,2016-02,Algar04 2016-02,0,0,0,0,0,0,0,2016,2,29,0.977692171,29,1
Algar04,Control,2016-03,Algar04 2016-03,0,0,0,0,0,0,0,2016,3,31,0.977692171,31,1
Algar04,Control,2016-04,Algar04 2016-04,0,0,0,0,0,0,0,2016,4,30,0.977692171,2,0.066666667
Algar04,Control,2016-05,Algar04 2016-05,1,0,0,0,0,3,0,2016,5,31,0.977692171,0,0
Algar04,Control,2016-06,Algar04 2016-06,0,0,0,0,0,5,0,2016,6,30,0.977692171,0,0
Algar04,Control,2016-07,Algar04 2016-07,1,0,0,0,0,2,1,2016,7,31,0.977692171,0,0
Algar04,Control,2016-08,Algar04 2016-08,0,0,0,0,0,2,0,2016,8,31,0.977692171,0,0
Algar04,Control,2016-09,Algar04 2016-09,0,0,0,0,0,3,0,2016,9,30,0.977692171,0,0
Algar04,Control,2016-10,Algar04 2016-10,0,0,0,0,0,0,1,2016,10,31,0.977692171,10,0.322580645
Algar04,Control,2016-11,Algar04 2016-11,0,0,0,0,0,1,0,2016,11,30,0.977692171,5,0.166666667
Algar04,Control,2016-12,Algar04 2016-12,0,0,0,0,0,0,0,2016,12,31,0.977692171,31,1
Algar04,Control,2017-01,Algar04 2017-01,0,0,0,0,0,0,0,2017,1,31,0.977692171,31,1
Algar04,Control,2017-02,Algar04 2017-02,0,0,0,1,0,0,0,2017,2,28,0.977692171,28,1
Algar04,Control,2017-03,Algar04 2017-03,0,0,0,0,0,0,0,2017,3,31,0.977692171,31,1
Algar04,Control,2017-04,Algar04 2017-04,0,0,0,0,0,0,0,2017,4,30,0.977692171,9,0.3
Algar04,Control,2017-05,Algar04 2017-05,1,0,0,0,0,1,0,2017,5,31,0.977692171,0,0
Algar04,Control,2017-06,Algar04 2017-06,1,0,0,0,0,3,0,2017,6,30,0.977692171,0,0
Algar04,Control,2017-07,Algar04 2017-07,3,0,0,0,0,4,1,2017,7,31,0.977692171,0,0
Algar04,Control,2017-08,Algar04 2017-08,0,0,0,0,0,3,0,2017,8,31,0.977692171,0,0
Algar04,Control,2017-09,Algar04 2017-09,0,0,0,0,0,3,0,2017,9,30,0.977692171,0,0
Algar04,Control,2017-10,Algar04 2017-10,0,0,0,0,0,0,0,2017,10,31,0.977692171,9,0.290322581
Algar04,Control,2017-11,Algar04 2017-11,0,0,0,0,0,1,0,2017,11,30,0.977692171,30,1
Algar04,Control,2017-12,Algar04 2017-12,0,0,0,0,0,0,0,2017,12,31,0.977692171,31,1
Algar04,Control,2018-01,Algar04 2018-01,0,0,0,0,0,0,0,2018,1,31,0.977692171,31,1
Algar04,Control,2018-02,Algar04 2018-02,0,0,0,0,0,0,0,2018,2,28,0.977692171,28,1
Algar04,Control,2018-03,Algar04 2018-03,0,0,0,0,0,0,0,2018,3,31,0.977692171,31,1
Algar04,Control,2018-04,Algar04 2018-04,0,0,0,0,0,0,0,2018,4,7,0.977692171,7,1
Algar05,Control,2015-11,Algar05 2015-11,0,1,0,0,0,0,0,2015,11,25,1.547043972,5,0.2
Algar05,Control,2015-12,Algar05 2015-12,0,0,0,0,0,1,0,2015,12,31,1.547043972,24,0.774193548
Algar05,Control,2016-01,Algar05 2016-01,0,0,0,0,0,2,0,2016,1,31,1.547043972,31,1
Algar05,Control,2016-02,Algar05 2016-02,0,0,0,0,0,0,0,2016,2,29,1.547043972,29,1
Algar05,Control,2016-03,Algar05 2016-03,0,0,0,0,0,0,0,2016,3,31,1.547043972,31,1
Algar05,Control,2016-04,Algar05 2016-04,0,0,0,0,0,1,0,2016,4,30,1.547043972,1,0.033333333
Algar05,Control,2016-05,Algar05 2016-05,0,0,0,0,0,2,0,2016,5,31,1.547043972,0,0
Algar05,Control,2016-06,Algar05 2016-06,0,0,0,0,0,4,0,2016,6,30,1.547043972,0,0
Algar05,Control,2016-07,Algar05 2016-07,0,0,0,0,0,1,0,2016,7,31,1.547043972,0,0
Algar05,Control,2016-08,Algar05 2016-08,0,0,0,0,0,0,0,2016,8,31,1.547043972,0,0
Algar05,Control,2016-09,Algar05 2016-09,0,0,0,0,0,0,0,2016,9,30,1.547043972,0,0
Algar05,Control,2016-10,Algar05 2016-10,0,0,0,0,0,0,0,2016,10,31,1.547043972,23,0.741935484
Algar05,Control,2016-11,Algar05 2016-11,0,2,0,0,0,0,0,2016,11,30,1.547043972,12,0.4
Algar05,Control,2016-12,Algar05 2016-12,0,0,0,0,0,0,0,2016,12,31,1.547043972,31,1
Algar05,Control,2017-01,Algar05 2017-01,0,1,0,0,0,0,0,2017,1,31,1.547043972,31,1
Algar05,Control,2017-02,Algar05 2017-02,0,0,0,0,0,0,0,2017,2,28,1.547043972,28,1
Algar05,Control,2017-03,Algar05 2017-03,0,0,0,0,0,0,0,2017,3,31,1.547043972,28,0.903225806
Algar05,Control,2017-04,Algar05 2017-04,0,1,0,0,0,1,0,2017,4,30,1.547043972,5,0.166666667
Algar05,Control,2017-05,Algar05 2017-05,0,0,0,0,0,0,0,2017,5,31,1.547043972,0,0
Algar05,Control,2017-06,Algar05 2017-06,0,0,0,0,0,5,0,2017,6,30,1.547043972,0,0
Algar05,Control,2017-07,Algar05 2017-07,0,0,0,0,0,1,0,2017,7,31,1.547043972,0,0
Algar05,Control,2017-08,Algar05 2017-08,0,0,0,0,0,0,0,2017,8,31,1.547043972,0,0
Algar05,Control,2017-09,Algar05 2017-09,0,0,0,0,0,0,0,2017,9,30,1.547043972,0,0
Algar05,Control,2017-10,Algar05 2017-10,0,0,0,0,0,0,0,2017,10,31,1.547043972,13,0.419354839
Algar05,Control,2017-11,Algar05 2017-11,0,1,0,0,0,1,0,2017,11,30,1.547043972,30,1
Algar05,Control,2017-12,Algar05 2017-12,0,0,0,0,0,0,0,2017,12,9,1.547043972,9,1
Algar05,Control,2018-01,Algar05 2018-01,0,0,0,0,0,0,0,2018,1,0,1.547043972,0,NA
Algar05,Control,2018-02,Algar05 2018-02,0,0,0,0,0,0,0,2018,2,0,1.547043972,0,NA
Algar05,Control,2018-03,Algar05 2018-03,0,0,0,0,0,0,0,2018,3,0,1.547043972,0,NA
Algar05,Control,2018-04,Algar05 2018-04,0,0,0,0,0,0,0,2018,4,0,1.547043972,0,NA
Algar06,Control,2015-11,Algar06 2015-11,0,2,0,0,0,8,0,2015,11,25,1.511318002,15,0.6
Algar06,Control,2015-12,Algar06 2015-12,0,3,1,1,0,3,0,2015,12,31,1.511318002,31,1
Algar06,Control,2016-01,Algar06 2016-01,0,2,1,1,0,2,0,2016,1,31,1.511318002,31,1
Algar06,Control,2016-02,Algar06 2016-02,0,0,0,0,0,1,0,2016,2,29,1.511318002,29,1
Algar06,Control,2016-03,Algar06 2016-03,0,0,0,2,0,3,0,2016,3,31,1.511318002,31,1
Algar06,Control,2016-04,Algar06 2016-04,2,0,1,1,0,3,0,2016,4,30,1.511318002,6,0.2
Algar06,Control,2016-05,Algar06 2016-05,8,3,2,0,0,10,0,2016,5,31,1.511318002,0,0
Algar06,Control,2016-06,Algar06 2016-06,12,0,1,1,0,12,2,2016,6,30,1.511318002,0,0
Algar06,Control,2016-07,Algar06 2016-07,3,1,0,0,0,12,0,2016,7,31,1.511318002,0,0
Algar06,Control,2016-08,Algar06 2016-08,1,0,0,0,0,14,0,2016,8,31,1.511318002,0,0
Algar06,Control,2016-09,Algar06 2016-09,0,3,0,0,0,21,0,2016,9,30,1.511318002,0,0
Algar06,Control,2016-10,Algar06 2016-10,3,2,0,0,0,9,0,2016,10,31,1.511318002,13,0.419354839
Algar06,Control,2016-11,Algar06 2016-11,0,3,0,1,0,9,0,2016,11,30,1.511318002,5,0.166666667
Algar06,Control,2016-12,Algar06 2016-12,0,1,2,0,0,6,0,2016,12,31,1.511318002,31,1
Algar06,Control,2017-01,Algar06 2017-01,0,2,2,0,0,2,0,2017,1,31,1.511318002,31,1
Algar06,Control,2017-02,Algar06 2017-02,0,0,0,1,0,1,0,2017,2,28,1.511318002,28,1
Algar06,Control,2017-03,Algar06 2017-03,0,0,2,1,0,4,0,2017,3,31,1.511318002,27,0.870967742
Algar06,Control,2017-04,Algar06 2017-04,2,0,1,0,0,2,0,2017,4,30,1.511318002,5,0.166666667
Algar06,Control,2017-05,Algar06 2017-05,10,0,4,0,0,15,0,2017,5,31,1.511318002,0,0
Algar06,Control,2017-06,Algar06 2017-06,20,0,0,0,0,5,0,2017,6,30,1.511318002,0,0
Algar06,Control,2017-07,Algar06 2017-07,1,0,0,0,0,14,0,2017,7,31,1.511318002,0,0
Algar06,Control,2017-08,Algar06 2017-08,2,0,1,0,0,8,1,2017,8,31,1.511318002,0,0
Algar06,Control,2017-09,Algar06 2017-09,3,1,0,0,0,0,1,2017,9,18,1.511318002,0,0
Algar06,Control,2017-10,Algar06 2017-10,0,0,0,0,0,0,0,2017,10,0,1.511318002,0,NA
Algar06,Control,2017-11,Algar06 2017-11,0,1,1,0,0,8,0,2017,11,22,1.511318002,22,1
Algar06,Control,2017-12,Algar06 2017-12,0,0,0,0,0,1,0,2017,12,7,1.511318002,7,1
Algar06,Control,2018-01,Algar06 2018-01,0,0,0,0,0,0,0,2018,1,0,1.511318002,0,NA
Algar06,Control,2018-02,Algar06 2018-02,0,0,0,0,0,0,0,2018,2,0,1.511318002,0,NA
Algar06,Control,2018-03,Algar06 2018-03,0,0,0,0,0,0,0,2018,3,0,1.511318002,0,NA
Algar06,Control,2018-04,Algar06 2018-04,0,0,0,0,0,0,0,2018,4,0,1.511318002,0,NA
Algar07,Control,2015-11,Algar07 2015-11,0,0,1,0,0,0,0,2015,11,25,1.334166047,15,0.6
Algar07,Control,2015-12,Algar07 2015-12,0,1,0,0,0,0,1,2015,12,31,1.334166047,31,1
Algar07,Control,2016-01,Algar07 2016-01,0,0,0,0,0,0,0,2016,1,31,1.334166047,31,1
Algar07,Control,2016-02,Algar07 2016-02,0,0,0,0,0,0,0,2016,2,29,1.334166047,29,1
Algar07,Control,2016-03,Algar07 2016-03,0,0,0,0,0,0,0,2016,3,31,1.334166047,31,1
Algar07,Control,2016-04,Algar07 2016-04,0,0,0,0,0,0,0,2016,4,30,1.334166047,3,0.1
Algar07,Control,2016-05,Algar07 2016-05,0,0,0,0,0,0,1,2016,5,31,1.334166047,0,0
Algar07,Control,2016-06,Algar07 2016-06,1,0,0,0,0,0,0,2016,6,30,1.334166047,0,0
Algar07,Control,2016-07,Algar07 2016-07,0,0,0,0,0,0,0,2016,7,31,1.334166047,0,0
Algar07,Control,2016-08,Algar07 2016-08,0,0,0,0,0,0,0,2016,8,31,1.334166047,0,0
Algar07,Control,2016-09,Algar07 2016-09,0,0,0,0,0,0,0,2016,9,30,1.334166047,0,0
Algar07,Control,2016-10,Algar07 2016-10,0,0,0,0,0,0,0,2016,10,31,1.334166047,18,0.580645161
Algar07,Control,2016-11,Algar07 2016-11,0,0,0,1,0,0,0,2016,11,30,1.334166047,11,0.366666667
Algar07,Control,2016-12,Algar07 2016-12,0,0,1,1,0,0,0,2016,12,31,1.334166047,31,1
Algar07,Control,2017-01,Algar07 2017-01,0,0,0,0,0,1,0,2017,1,31,1.334166047,31,1
Algar07,Control,2017-02,Algar07 2017-02,0,0,1,0,0,0,0,2017,2,28,1.334166047,28,1
Algar07,Control,2017-03,Algar07 2017-03,0,0,0,1,0,0,0,2017,3,31,1.334166047,26,0.838709677
Algar07,Control,2017-04,Algar07 2017-04,0,0,0,0,0,0,0,2017,4,21,1.334166047,4,0.19047619
Algar07,Control,2017-05,Algar07 2017-05,0,0,0,0,0,0,0,2017,5,0,1.334166047,0,NA
Algar07,Control,2017-06,Algar07 2017-06,0,0,0,0,0,0,0,2017,6,0,1.334166047,0,NA
Algar07,Control,2017-07,Algar07 2017-07,0,0,0,0,0,0,0,2017,7,0,1.334166047,0,NA
Algar07,Control,2017-08,Algar07 2017-08,0,0,0,0,0,0,0,2017,8,0,1.334166047,0,NA
Algar07,Control,2017-09,Algar07 2017-09,0,0,0,0,0,0,0,2017,9,0,1.334166047,0,NA
Algar07,Control,2017-10,Algar07 2017-10,0,0,0,0,0,0,0,2017,10,0,1.334166047,0,NA
Algar07,Control,2017-11,Algar07 2017-11,0,0,0,0,0,0,0,2017,11,22,1.334166047,22,1
Algar07,Control,2017-12,Algar07 2017-12,0,0,0,0,0,0,0,2017,12,7,1.334166047,7,1
Algar07,Control,2018-01,Algar07 2018-01,0,0,0,0,0,0,0,2018,1,0,1.334166047,0,NA
Algar07,Control,2018-02,Algar07 2018-02,0,0,0,0,0,0,0,2018,2,0,1.334166047,0,NA
Algar07,Control,2018-03,Algar07 2018-03,0,0,0,0,0,0,0,2018,3,0,1.334166047,0,NA
Algar07,Control,2018-04,Algar07 2018-04,0,0,0,0,0,0,0,2018,4,0,1.334166047,0,NA
Algar08,Control,2015-11,Algar08 2015-11,0,0,0,0,0,0,0,2015,11,25,0.999141902,15,0.6
Algar08,Control,2015-12,Algar08 2015-12,0,1,0,0,0,0,1,2015,12,31,0.999141902,31,1
Algar08,Control,2016-01,Algar08 2016-01,0,1,0,0,0,0,0,2016,1,31,0.999141902,31,1
Algar08,Control,2016-02,Algar08 2016-02,0,0,0,0,0,0,0,2016,2,29,0.999141902,29,1
Algar08,Control,2016-03,Algar08 2016-03,0,0,0,0,0,0,0,2016,3,31,0.999141902,30,0.967741935
Algar08,Control,2016-04,Algar08 2016-04,0,0,0,1,0,0,0,2016,4,30,0.999141902,0,0
Algar08,Control,2016-05,Algar08 2016-05,2,0,0,0,0,1,0,2016,5,31,0.999141902,0,0
Algar08,Control,2016-06,Algar08 2016-06,1,0,0,0,0,6,0,2016,6,30,0.999141902,0,0
Algar08,Control,2016-07,Algar08 2016-07,0,0,0,0,0,2,0,2016,7,31,0.999141902,0,0
Algar08,Control,2016-08,Algar08 2016-08,0,0,0,0,0,2,0,2016,8,31,0.999141902,0,0
Algar08,Control,2016-09,Algar08 2016-09,0,0,0,0,0,0,0,2016,9,30,0.999141902,0,0
Algar08,Control,2016-10,Algar08 2016-10,0,0,0,0,0,1,0,2016,10,31,0.999141902,10,0.322580645
Algar08,Control,2016-11,Algar08 2016-11,0,0,0,0,0,0,0,2016,11,30,0.999141902,5,0.166666667
Algar08,Control,2016-12,Algar08 2016-12,0,0,0,0,0,0,2,2016,12,31,0.999141902,31,1
Algar08,Control,2017-01,Algar08 2017-01,0,0,0,0,0,0,0,2017,1,31,0.999141902,31,1
Algar08,Control,2017-02,Algar08 2017-02,0,0,1,0,0,0,1,2017,2,28,0.999141902,28,1
Algar08,Control,2017-03,Algar08 2017-03,0,0,0,1,0,0,0,2017,3,31,0.999141902,26,0.838709677
Algar08,Control,2017-04,Algar08 2017-04,0,0,0,0,0,0,0,2017,4,30,0.999141902,5,0.166666667
Algar08,Control,2017-05,Algar08 2017-05,0,0,0,0,0,1,0,2017,5,31,0.999141902,0,0
Algar08,Control,2017-06,Algar08 2017-06,0,0,0,0,0,6,0,2017,6,30,0.999141902,0,0
Algar08,Control,2017-07,Algar08 2017-07,0,0,0,0,0,1,2,2017,7,31,0.999141902,0,0
Algar08,Control,2017-08,Algar08 2017-08,0,0,0,0,0,0,0,2017,8,31,0.999141902,0,0
Algar08,Control,2017-09,Algar08 2017-09,0,0,0,0,0,0,0,2017,9,30,0.999141902,0,0
Algar08,Control,2017-10,Algar08 2017-10,0,0,0,0,0,1,0,2017,10,31,0.999141902,9,0.290322581
Algar08,Control,2017-11,Algar08 2017-11,0,0,0,0,0,0,1,2017,11,30,0.999141902,30,1
Algar08,Control,2017-12,Algar08 2017-12,0,0,0,0,0,0,0,2017,12,31,0.999141902,31,1
Algar08,Control,2018-01,Algar08 2018-01,0,0,0,0,0,1,0,2018,1,31,0.999141902,31,1
Algar08,Control,2018-02,Algar08 2018-02,0,0,0,0,0,0,0,2018,2,28,0.999141902,28,1
Algar08,Control,2018-03,Algar08 2018-03,0,0,0,0,0,0,0,2018,3,31,0.999141902,31,1
Algar08,Control,2018-04,Algar08 2018-04,0,0,0,0,0,0,0,2018,4,8,0.999141902,8,1
Algar09,Control,2015-11,Algar09 2015-11,0,0,0,0,0,0,0,2015,11,25,1.78605374,15,0.6
Algar09,Control,2015-12,Algar09 2015-12,0,1,0,0,0,0,0,2015,12,31,1.78605374,31,1
Algar09,Control,2016-01,Algar09 2016-01,0,0,0,0,0,0,0,2016,1,31,1.78605374,31,1
Algar09,Control,2016-02,Algar09 2016-02,0,0,0,0,0,0,0,2016,2,29,1.78605374,29,1
Algar09,Control,2016-03,Algar09 2016-03,0,0,0,0,0,0,0,2016,3,31,1.78605374,31,1
Algar09,Control,2016-04,Algar09 2016-04,0,0,0,0,0,0,0,2016,4,30,1.78605374,6,0.2
Algar09,Control,2016-05,Algar09 2016-05,0,1,0,0,2,0,0,2016,5,31,1.78605374,0,0
Algar09,Control,2016-06,Algar09 2016-06,0,0,0,0,2,0,0,2016,6,30,1.78605374,0,0
Algar09,Control,2016-07,Algar09 2016-07,0,0,0,0,0,0,0,2016,7,31,1.78605374,0,0
Algar09,Control,2016-08,Algar09 2016-08,0,1,0,1,0,0,0,2016,8,31,1.78605374,0,0
Algar09,Control,2016-09,Algar09 2016-09,0,0,0,0,1,0,0,2016,9,30,1.78605374,0,0
