"","X.1","X","Site","Treatment","Yr_Month","Site_ym","Blackbear","Wolf","Coyote","Lynx","Caribou","WTDeer","Moose","Year","Month","ActiveDays","SnowDays","pSnow"
"20",20,20,"Algar01","Control","2017-06","Algar01 2017-06",2,0,0,0,0,0,3,2017,6,30,0,0
"21",21,21,"Algar01","Control","2017-07","Algar01 2017-07",0,0,0,0,0,1,1,2017,7,31,0,0
"22",22,22,"Algar01","Control","2017-08","Algar01 2017-08",0,0,0,0,0,2,0,2017,8,31,0,0
"23",23,23,"Algar01","Control","2017-09","Algar01 2017-09",0,0,0,0,0,0,0,2017,9,30,0,0
"24",24,24,"Algar01","Control","2017-10","Algar01 2017-10",0,0,0,0,0,0,0,2017,10,31,10,0.32258064516129
"25",25,25,"Algar01","Control","2017-11","Algar01 2017-11",0,0,0,0,0,1,0,2017,11,30,30,1
"26",26,26,"Algar01","Control","2017-12","Algar01 2017-12",0,0,0,0,0,0,1,2017,12,31,30,0.967741935483871
"27",27,27,"Algar01","Control","2018-01","Algar01 2018-01",0,0,0,0,0,0,1,2018,1,31,31,1
"28",28,28,"Algar01","Control","2018-02","Algar01 2018-02",0,0,0,0,0,0,0,2018,2,28,28,1
"29",29,29,"Algar01","Control","2018-03","Algar01 2018-03",0,0,0,0,0,0,0,2018,3,31,31,1
"30",30,30,"Algar01","Control","2018-04","Algar01 2018-04",0,0,0,0,0,0,0,2018,4,7,6,0.857142857142857
"31",31,31,"Algar02","Control","2015-11","Algar02 2015-11",0,0,0,0,0,2,2,2015,11,26,15,0.576923076923077
"32",32,32,"Algar02","Control","2015-12","Algar02 2015-12",0,0,0,0,0,0,4,2015,12,31,31,1
"33",33,33,"Algar02","Control","2016-01","Algar02 2016-01",0,0,0,0,0,0,0,2016,1,31,31,1
"34",34,34,"Algar02","Control","2016-02","Algar02 2016-02",0,0,0,0,0,0,0,2016,2,29,29,1
"35",35,35,"Algar02","Control","2016-03","Algar02 2016-03",0,0,0,1,0,0,0,2016,3,31,31,1
"36",36,36,"Algar02","Control","2016-04","Algar02 2016-04",1,0,1,0,0,0,0,2016,4,30,14,0.466666666666667
"37",37,37,"Algar02","Control","2016-05","Algar02 2016-05",4,0,1,0,0,0,0,2016,5,31,0,0
"38",38,38,"Algar02","Control","2016-06","Algar02 2016-06",2,0,0,0,0,0,1,2016,6,30,0,0
"39",39,39,"Algar02","Control","2016-07","Algar02 2016-07",1,0,0,0,0,0,0,2016,7,31,0,0
"40",40,40,"Algar02","Control","2016-08","Algar02 2016-08",1,1,0,0,0,0,0,2016,8,31,0,0
"41",41,41,"Algar02","Control","2016-09","Algar02 2016-09",0,0,0,0,0,0,0,2016,9,30,0,0
"42",42,42,"Algar02","Control","2016-10","Algar02 2016-10",0,0,0,0,0,0,1,2016,10,31,23,0.741935483870968
"43",43,43,"Algar02","Control","2016-11","Algar02 2016-11",0,0,0,0,0,1,0,2016,11,30,15,0.5
"44",44,44,"Algar02","Control","2016-12","Algar02 2016-12",0,0,0,0,0,3,2,2016,12,31,31,1
"45",45,45,"Algar02","Control","2017-01","Algar02 2017-01",0,0,0,0,0,0,0,2017,1,31,31,1
"46",46,46,"Algar02","Control","2017-02","Algar02 2017-02",0,0,0,0,0,0,0,2017,2,28,28,1
"47",47,47,"Algar02","Control","2017-03","Algar02 2017-03",0,0,0,0,3,0,0,2017,3,31,31,1
"48",48,48,"Algar02","Control","2017-04","Algar02 2017-04",1,0,0,0,1,6,0,2017,4,30,16,0.533333333333333
"49",49,49,"Algar02","Control","2017-05","Algar02 2017-05",3,0,0,0,0,1,1,2017,5,31,0,0
"50",50,50,"Algar02","Control","2017-06","Algar02 2017-06",5,0,0,1,0,0,1,2017,6,30,0,0
"51",51,51,"Algar02","Control","2017-07","Algar02 2017-07",0,0,0,0,0,0,1,2017,7,31,0,0
"52",52,52,"Algar02","Control","2017-08","Algar02 2017-08",1,0,0,0,0,1,0,2017,8,31,0,0
"53",53,53,"Algar02","Control","2017-09","Algar02 2017-09",2,0,0,1,1,0,2,2017,9,30,0,0
"54",54,54,"Algar02","Control","2017-10","Algar02 2017-10",0,0,0,0,1,0,1,2017,10,31,11,0.354838709677419
"55",55,55,"Algar02","Control","2017-11","Algar02 2017-11",0,0,0,0,0,0,3,2017,11,30,30,1
"56",56,56,"Algar02","Control","2017-12","Algar02 2017-12",0,3,0,0,0,0,1,2017,12,31,31,1
"57",57,57,"Algar02","Control","2018-01","Algar02 2018-01",0,2,0,0,0,0,0,2018,1,31,31,1
"58",58,58,"Algar02","Control","2018-02","Algar02 2018-02",0,0,0,0,2,0,0,2018,2,28,28,1
"59",59,59,"Algar02","Control","2018-03","Algar02 2018-03",0,0,0,0,0,0,0,2018,3,31,31,1
"60",60,60,"Algar02","Control","2018-04","Algar02 2018-04",0,0,0,0,0,0,0,2018,4,7,6,0.857142857142857
"61",61,61,"Algar03","Control","2015-11","Algar03 2015-11",0,0,0,0,0,0,0,2015,11,26,18,0.692307692307692
"62",62,62,"Algar03","Control","2015-12","Algar03 2015-12",0,0,0,0,0,0,0,2015,12,31,31,1
"63",63,63,"Algar03","Control","2016-01","Algar03 2016-01",0,0,0,0,0,0,0,2016,1,31,31,1
"64",64,64,"Algar03","Control","2016-02","Algar03 2016-02",0,0,0,0,0,0,0,2016,2,29,29,1
"65",65,65,"Algar03","Control","2016-03","Algar03 2016-03",0,0,0,0,0,0,0,2016,3,31,31,1
"66",66,66,"Algar03","Control","2016-04","Algar03 2016-04",0,0,1,1,2,0,0,2016,4,30,13,0.433333333333333
"67",67,67,"Algar03","Control","2016-05","Algar03 2016-05",1,2,0,0,0,1,0,2016,5,31,0,0
"68",68,68,"Algar03","Control","2016-06","Algar03 2016-06",5,0,0,0,0,0,0,2016,6,30,0,0
"69",69,69,"Algar03","Control","2016-07","Algar03 2016-07",1,0,0,0,0,1,0,2016,7,31,0,0
"70",70,70,"Algar03","Control","2016-08","Algar03 2016-08",0,0,0,1,0,0,1,2016,8,31,0,0
"71",71,71,"Algar03","Control","2016-09","Algar03 2016-09",1,2,0,0,0,0,0,2016,9,30,0,0
"72",72,72,"Algar03","Control","2016-10","Algar03 2016-10",0,0,0,0,0,0,0,2016,10,31,23,0.741935483870968
"73",73,73,"Algar03","Control","2016-11","Algar03 2016-11",0,1,0,0,0,0,0,2016,11,30,20,0.666666666666667
"74",74,74,"Algar03","Control","2016-12","Algar03 2016-12",0,0,0,0,0,0,0,2016,12,31,31,1
"75",75,75,"Algar03","Control","2017-01","Algar03 2017-01",0,0,0,1,0,0,0,2017,1,31,31,1
"76",76,76,"Algar03","Control","2017-02","Algar03 2017-02",0,0,0,0,0,0,0,2017,2,28,28,1
"77",77,77,"Algar03","Control","2017-03","Algar03 2017-03",0,0,0,0,0,0,0,2017,3,31,31,1
"78",78,78,"Algar03","Control","2017-04","Algar03 2017-04",1,1,0,0,0,0,0,2017,4,30,10,0.333333333333333
"79",79,79,"Algar03","Control","2017-05","Algar03 2017-05",0,0,0,1,1,0,0,2017,5,31,0,0
"80",80,80,"Algar03","Control","2017-06","Algar03 2017-06",2,0,0,0,0,0,0,2017,6,30,0,0
"81",81,81,"Algar03","Control","2017-07","Algar03 2017-07",0,0,0,0,0,0,0,2017,7,31,0,0
"82",82,82,"Algar03","Control","2017-08","Algar03 2017-08",0,0,0,1,0,0,0,2017,8,31,0,0
"83",83,83,"Algar03","Control","2017-09","Algar03 2017-09",0,0,0,0,0,0,0,2017,9,30,0,0
"84",84,84,"Algar03","Control","2017-10","Algar03 2017-10",0,0,0,0,0,0,0,2017,10,31,11,0.354838709677419
"85",85,85,"Algar03","Control","2017-11","Algar03 2017-11",0,0,0,0,0,0,0,2017,11,30,28,0.933333333333333
"86",86,86,"Algar03","Control","2017-12","Algar03 2017-12",0,1,0,0,0,0,0,2017,12,31,31,1
"87",87,87,"Algar03","Control","2018-01","Algar03 2018-01",0,0,0,1,0,0,2,2018,1,31,31,1
"88",88,88,"Algar03","Control","2018-02","Algar03 2018-02",0,0,0,0,1,0,0,2018,2,28,28,1
"89",89,89,"Algar03","Control","2018-03","Algar03 2018-03",0,0,0,0,0,0,0,2018,3,31,31,1
"90",90,90,"Algar03","Control","2018-04","Algar03 2018-04",0,0,0,0,0,0,0,2018,4,7,6,0.857142857142857
"91",91,91,"Algar04","Control","2015-11","Algar04 2015-11",0,0,0,0,0,3,0,2015,11,26,15,0.576923076923077
"92",92,92,"Algar04","Control","2015-12","Algar04 2015-12",0,0,0,0,0,1,0,2015,12,31,31,1
"93",93,93,"Algar04","Control","2016-01","Algar04 2016-01",0,0,0,0,0,1,0,2016,1,31,31,1
"94",94,94,"Algar04","Control","2016-02","Algar04 2016-02",0,0,0,0,0,0,0,2016,2,29,29,1
"95",95,95,"Algar04","Control","2016-03","Algar04 2016-03",0,0,0,0,0,0,0,2016,3,31,31,1
"96",96,96,"Algar04","Control","2016-04","Algar04 2016-04",0,0,0,0,0,0,0,2016,4,30,2,0.0666666666666667
"97",97,97,"Algar04","Control","2016-05","Algar04 2016-05",1,0,0,0,0,3,0,2016,5,31,0,0
"98",98,98,"Algar04","Control","2016-06","Algar04 2016-06",0,0,0,0,0,5,0,2016,6,30,0,0
"99",99,99,"Algar04","Control","2016-07","Algar04 2016-07",1,0,0,0,0,2,1,2016,7,31,0,0
"100",100,100,"Algar04","Control","2016-08","Algar04 2016-08",0,0,0,0,0,2,0,2016,8,31,0,0
"101",101,101,"Algar04","Control","2016-09","Algar04 2016-09",0,0,0,0,0,3,0,2016,9,30,0,0
"102",102,102,"Algar04","Control","2016-10","Algar04 2016-10",0,0,0,0,0,0,1,2016,10,31,10,0.32258064516129
"103",103,103,"Algar04","Control","2016-11","Algar04 2016-11",0,0,0,0,0,1,0,2016,11,30,5,0.166666666666667
"104",104,104,"Algar04","Control","2016-12","Algar04 2016-12",0,0,0,0,0,0,0,2016,12,31,31,1
"105",105,105,"Algar04","Control","2017-01","Algar04 2017-01",0,0,0,0,0,0,0,2017,1,31,31,1
"106",106,106,"Algar04","Control","2017-02","Algar04 2017-02",0,0,0,1,0,0,0,2017,2,28,28,1
"107",107,107,"Algar04","Control","2017-03","Algar04 2017-03",0,0,0,0,0,0,0,2017,3,31,31,1
"108",108,108,"Algar04","Control","2017-04","Algar04 2017-04",0,0,0,0,0,0,0,2017,4,30,9,0.3
"109",109,109,"Algar04","Control","2017-05","Algar04 2017-05",1,0,0,0,0,1,0,2017,5,31,0,0
"110",110,110,"Algar04","Control","2017-06","Algar04 2017-06",1,0,0,0,0,3,0,2017,6,30,0,0
"111",111,111,"Algar04","Control","2017-07","Algar04 2017-07",3,0,0,0,0,4,1,2017,7,31,0,0
"112",112,112,"Algar04","Control","2017-08","Algar04 2017-08",0,0,0,0,0,3,0,2017,8,31,0,0
"113",113,113,"Algar04","Control","2017-09","Algar04 2017-09",0,0,0,0,0,3,0,2017,9,30,0,0
"114",114,114,"Algar04","Control","2017-10","Algar04 2017-10",0,0,0,0,0,0,0,2017,10,31,9,0.290322580645161
"115",115,115,"Algar04","Control","2017-11","Algar04 2017-11",0,0,0,0,0,1,0,2017,11,30,30,1
"116",116,116,"Algar04","Control","2017-12","Algar04 2017-12",0,0,0,0,0,0,0,2017,12,31,31,1
"117",117,117,"Algar04","Control","2018-01","Algar04 2018-01",0,0,0,0,0,0,0,2018,1,31,31,1
"118",118,118,"Algar04","Control","2018-02","Algar04 2018-02",0,0,0,0,0,0,0,2018,2,28,28,1
"119",119,119,"Algar04","Control","2018-03","Algar04 2018-03",0,0,0,0,0,0,0,2018,3,31,31,1
"120",120,120,"Algar04","Control","2018-04","Algar04 2018-04",0,0,0,0,0,0,0,2018,4,7,7,1
"121",121,121,"Algar05","Control","2015-11","Algar05 2015-11",0,1,0,0,0,0,0,2015,11,25,5,0.2
"122",122,122,"Algar05","Control","2015-12","Algar05 2015-12",0,0,0,0,0,1,0,2015,12,31,24,0.774193548387097
"123",123,123,"Algar05","Control","2016-01","Algar05 2016-01",0,0,0,0,0,2,0,2016,1,31,31,1
"124",124,124,"Algar05","Control","2016-02","Algar05 2016-02",0,0,0,0,0,0,0,2016,2,29,29,1
"125",125,125,"Algar05","Control","2016-03","Algar05 2016-03",0,0,0,0,0,0,0,2016,3,31,31,1
"126",126,126,"Algar05","Control","2016-04","Algar05 2016-04",0,0,0,0,0,1,0,2016,4,30,1,0.0333333333333333
"127",127,127,"Algar05","Control","2016-05","Algar05 2016-05",0,0,0,0,0,2,0,2016,5,31,0,0
"128",128,128,"Algar05","Control","2016-06","Algar05 2016-06",0,0,0,0,0,4,0,2016,6,30,0,0
"129",129,129,"Algar05","Control","2016-07","Algar05 2016-07",0,0,0,0,0,1,0,2016,7,31,0,0
"130",130,130,"Algar05","Control","2016-08","Algar05 2016-08",0,0,0,0,0,0,0,2016,8,31,0,0
"131",131,131,"Algar05","Control","2016-09","Algar05 2016-09",0,0,0,0,0,0,0,2016,9,30,0,0
"132",132,132,"Algar05","Control","2016-10","Algar05 2016-10",0,0,0,0,0,0,0,2016,10,31,23,0.741935483870968
"133",133,133,"Algar05","Control","2016-11","Algar05 2016-11",0,2,0,0,0,0,0,2016,11,30,12,0.4
"134",134,134,"Algar05","Control","2016-12","Algar05 2016-12",0,0,0,0,0,0,0,2016,12,31,31,1
"135",135,135,"Algar05","Control","2017-01","Algar05 2017-01",0,1,0,0,0,0,0,2017,1,31,31,1
"136",136,136,"Algar05","Control","2017-02","Algar05 2017-02",0,0,0,0,0,0,0,2017,2,28,28,1
"137",137,137,"Algar05","Control","2017-03","Algar05 2017-03",0,0,0,0,0,0,0,2017,3,31,28,0.903225806451613
"138",138,138,"Algar05","Control","2017-04","Algar05 2017-04",0,1,0,0,0,1,0,2017,4,30,5,0.166666666666667
"139",139,139,"Algar05","Control","2017-05","Algar05 2017-05",0,0,0,0,0,0,0,2017,5,31,0,0
"140",140,140,"Algar05","Control","2017-06","Algar05 2017-06",0,0,0,0,0,5,0,2017,6,30,0,0
"141",141,141,"Algar05","Control","2017-07","Algar05 2017-07",0,0,0,0,0,1,0,2017,7,31,0,0
"142",142,142,"Algar05","Control","2017-08","Algar05 2017-08",0,0,0,0,0,0,0,2017,8,31,0,0
"143",143,143,"Algar05","Control","2017-09","Algar05 2017-09",0,0,0,0,0,0,0,2017,9,30,0,0
"144",144,144,"Algar05","Control","2017-10","Algar05 2017-10",0,0,0,0,0,0,0,2017,10,31,13,0.419354838709677
"145",145,145,"Algar05","Control","2017-11","Algar05 2017-11",0,1,0,0,0,1,0,2017,11,30,30,1
"146",146,146,"Algar05","Control","2017-12","Algar05 2017-12",0,0,0,0,0,0,0,2017,12,9,9,1
"147",147,147,"Algar05","Control","2018-01","Algar05 2018-01",0,0,0,0,0,0,0,2018,1,0,0,NA
"148",148,148,"Algar05","Control","2018-02","Algar05 2018-02",0,0,0,0,0,0,0,2018,2,0,0,NA
"149",149,149,"Algar05","Control","2018-03","Algar05 2018-03",0,0,0,0,0,0,0,2018,3,0,0,NA
"150",150,150,"Algar05","Control","2018-04","Algar05 2018-04",0,0,0,0,0,0,0,2018,4,0,0,NA
"151",151,151,"Algar06","Control","2015-11","Algar06 2015-11",0,2,0,0,0,8,0,2015,11,25,15,0.6
"152",152,152,"Algar06","Control","2015-12","Algar06 2015-12",0,3,1,1,0,3,0,2015,12,31,31,1
"153",153,153,"Algar06","Control","2016-01","Algar06 2016-01",0,2,1,1,0,2,0,2016,1,31,31,1
"154",154,154,"Algar06","Control","2016-02","Algar06 2016-02",0,0,0,0,0,1,0,2016,2,29,29,1
"155",155,155,"Algar06","Control","2016-03","Algar06 2016-03",0,0,0,2,0,3,0,2016,3,31,31,1
"156",156,156,"Algar06","Control","2016-04","Algar06 2016-04",2,0,1,1,0,3,0,2016,4,30,6,0.2
"157",157,157,"Algar06","Control","2016-05","Algar06 2016-05",8,3,2,0,0,10,0,2016,5,31,0,0
"158",158,158,"Algar06","Control","2016-06","Algar06 2016-06",12,0,1,1,0,12,2,2016,6,30,0,0
"159",159,159,"Algar06","Control","2016-07","Algar06 2016-07",3,1,0,0,0,12,0,2016,7,31,0,0
"160",160,160,"Algar06","Control","2016-08","Algar06 2016-08",1,0,0,0,0,14,0,2016,8,31,0,0
"161",161,161,"Algar06","Control","2016-09","Algar06 2016-09",0,3,0,0,0,21,0,2016,9,30,0,0
"162",162,162,"Algar06","Control","2016-10","Algar06 2016-10",3,2,0,0,0,9,0,2016,10,31,13,0.419354838709677
"163",163,163,"Algar06","Control","2016-11","Algar06 2016-11",0,3,0,1,0,9,0,2016,11,30,5,0.166666666666667
"164",164,164,"Algar06","Control","2016-12","Algar06 2016-12",0,1,2,0,0,6,0,2016,12,31,31,1
"165",165,165,"Algar06","Control","2017-01","Algar06 2017-01",0,2,2,0,0,2,0,2017,1,31,31,1
"166",166,166,"Algar06","Control","2017-02","Algar06 2017-02",0,0,0,1,0,1,0,2017,2,28,28,1
"167",167,167,"Algar06","Control","2017-03","Algar06 2017-03",0,0,2,1,0,4,0,2017,3,31,27,0.870967741935484
"168",168,168,"Algar06","Control","2017-04","Algar06 2017-04",2,0,1,0,0,2,0,2017,4,30,5,0.166666666666667
"169",169,169,"Algar06","Control","2017-05","Algar06 2017-05",10,0,4,0,0,15,0,2017,5,31,0,0
"170",170,170,"Algar06","Control","2017-06","Algar06 2017-06",20,0,0,0,0,5,0,2017,6,30,0,0
"171",171,171,"Algar06","Control","2017-07","Algar06 2017-07",1,0,0,0,0,14,0,2017,7,31,0,0
"172",172,172,"Algar06","Control","2017-08","Algar06 2017-08",2,0,1,0,0,8,1,2017,8,31,0,0
"173",173,173,"Algar06","Control","2017-09","Algar06 2017-09",3,1,0,0,0,0,1,2017,9,18,0,0
"174",174,174,"Algar06","Control","2017-10","Algar06 2017-10",0,0,0,0,0,0,0,2017,10,0,0,NA
"175",175,175,"Algar06","Control","2017-11","Algar06 2017-11",0,1,1,0,0,8,0,2017,11,22,22,1
"176",176,176,"Algar06","Control","2017-12","Algar06 2017-12",0,0,0,0,0,1,0,2017,12,7,7,1
"177",177,177,"Algar06","Control","2018-01","Algar06 2018-01",0,0,0,0,0,0,0,2018,1,0,0,NA
"178",178,178,"Algar06","Control","2018-02","Algar06 2018-02",0,0,0,0,0,0,0,2018,2,0,0,NA
"179",179,179,"Algar06","Control","2018-03","Algar06 2018-03",0,0,0,0,0,0,0,2018,3,0,0,NA
"180",180,180,"Algar06","Control","2018-04","Algar06 2018-04",0,0,0,0,0,0,0,2018,4,0,0,NA
"181",181,181,"Algar07","Control","2015-11","Algar07 2015-11",0,0,1,0,0,0,0,2015,11,25,15,0.6
"182",182,182,"Algar07","Control","2015-12","Algar07 2015-12",0,1,0,0,0,0,1,2015,12,31,31,1
"183",183,183,"Algar07","Control","2016-01","Algar07 2016-01",0,0,0,0,0,0,0,2016,1,31,31,1
"184",184,184,"Algar07","Control","2016-02","Algar07 2016-02",0,0,0,0,0,0,0,2016,2,29,29,1
"185",185,185,"Algar07","Control","2016-03","Algar07 2016-03",0,0,0,0,0,0,0,2016,3,31,31,1
"186",186,186,"Algar07","Control","2016-04","Algar07 2016-04",0,0,0,0,0,0,0,2016,4,30,3,0.1
"187",187,187,"Algar07","Control","2016-05","Algar07 2016-05",0,0,0,0,0,0,1,2016,5,31,0,0
"188",188,188,"Algar07","Control","2016-06","Algar07 2016-06",1,0,0,0,0,0,0,2016,6,30,0,0
"189",189,189,"Algar07","Control","2016-07","Algar07 2016-07",0,0,0,0,0,0,0,2016,7,31,0,0
"190",190,190,"Algar07","Control","2016-08","Algar07 2016-08",0,0,0,0,0,0,0,2016,8,31,0,0
"191",191,191,"Algar07","Control","2016-09","Algar07 2016-09",0,0,0,0,0,0,0,2016,9,30,0,0
"192",192,192,"Algar07","Control","2016-10","Algar07 2016-10",0,0,0,0,0,0,0,2016,10,31,18,0.580645161290323
"193",193,193,"Algar07","Control","2016-11","Algar07 2016-11",0,0,0,1,0,0,0,2016,11,30,11,0.366666666666667
"194",194,194,"Algar07","Control","2016-12","Algar07 2016-12",0,0,1,1,0,0,0,2016,12,31,31,1
"195",195,195,"Algar07","Control","2017-01","Algar07 2017-01",0,0,0,0,0,1,0,2017,1,31,31,1
"196",196,196,"Algar07","Control","2017-02","Algar07 2017-02",0,0,1,0,0,0,0,2017,2,28,28,1
"197",197,197,"Algar07","Control","2017-03","Algar07 2017-03",0,0,0,1,0,0,0,2017,3,31,26,0.838709677419355
"198",198,198,"Algar07","Control","2017-04","Algar07 2017-04",0,0,0,0,0,0,0,2017,4,21,4,0.19047619047619
"199",199,199,"Algar07","Control","2017-05","Algar07 2017-05",0,0,0,0,0,0,0,2017,5,0,0,NA
"200",200,200,"Algar07","Control","2017-06","Algar07 2017-06",0,0,0,0,0,0,0,2017,6,0,0,NA
"201",201,201,"Algar07","Control","2017-07","Algar07 2017-07",0,0,0,0,0,0,0,2017,7,0,0,NA
"202",202,202,"Algar07","Control","2017-08","Algar07 2017-08",0,0,0,0,0,0,0,2017,8,0,0,NA
"203",203,203,"Algar07","Control","2017-09","Algar07 2017-09",0,0,0,0,0,0,0,2017,9,0,0,NA
"204",204,204,"Algar07","Control","2017-10","Algar07 2017-10",0,0,0,0,0,0,0,2017,10,0,0,NA
"205",205,205,"Algar07","Control","2017-11","Algar07 2017-11",0,0,0,0,0,0,0,2017,11,22,22,1
"206",206,206,"Algar07","Control","2017-12","Algar07 2017-12",0,0,0,0,0,0,0,2017,12,7,7,1
"207",207,207,"Algar07","Control","2018-01","Algar07 2018-01",0,0,0,0,0,0,0,2018,1,0,0,NA
"208",208,208,"Algar07","Control","2018-02","Algar07 2018-02",0,0,0,0,0,0,0,2018,2,0,0,NA
"209",209,209,"Algar07","Control","2018-03","Algar07 2018-03",0,0,0,0,0,0,0,2018,3,0,0,NA
"210",210,210,"Algar07","Control","2018-04","Algar07 2018-04",0,0,0,0,0,0,0,2018,4,0,0,NA
"211",211,211,"Algar08","Control","2015-11","Algar08 2015-11",0,0,0,0,0,0,0,2015,11,25,15,0.6
"212",212,212,"Algar08","Control","2015-12","Algar08 2015-12",0,1,0,0,0,0,1,2015,12,31,31,1
"213",213,213,"Algar08","Control","2016-01","Algar08 2016-01",0,1,0,0,0,0,0,2016,1,31,31,1
"214",214,214,"Algar08","Control","2016-02","Algar08 2016-02",0,0,0,0,0,0,0,2016,2,29,29,1
"215",215,215,"Algar08","Control","2016-03","Algar08 2016-03",0,0,0,0,0,0,0,2016,3,31,30,0.967741935483871
"216",216,216,"Algar08","Control","2016-04","Algar08 2016-04",0,0,0,1,0,0,0,2016,4,30,0,0
"217",217,217,"Algar08","Control","2016-05","Algar08 2016-05",2,0,0,0,0,1,0,2016,5,31,0,0
"218",218,218,"Algar08","Control","2016-06","Algar08 2016-06",1,0,0,0,0,6,0,2016,6,30,0,0
"219",219,219,"Algar08","Control","2016-07","Algar08 2016-07",0,0,0,0,0,2,0,2016,7,31,0,0
"220",220,220,"Algar08","Control","2016-08","Algar08 2016-08",0,0,0,0,0,2,0,2016,8,31,0,0
"221",221,221,"Algar08","Control","2016-09","Algar08 2016-09",0,0,0,0,0,0,0,2016,9,30,0,0
"222",222,222,"Algar08","Control","2016-10","Algar08 2016-10",0,0,0,0,0,1,0,2016,10,31,10,0.32258064516129
"223",223,223,"Algar08","Control","2016-11","Algar08 2016-11",0,0,0,0,0,0,0,2016,11,30,5,0.166666666666667
"224",224,224,"Algar08","Control","2016-12","Algar08 2016-12",0,0,0,0,0,0,2,2016,12,31,31,1
"225",225,225,"Algar08","Control","2017-01","Algar08 2017-01",0,0,0,0,0,0,0,2017,1,31,31,1
"226",226,226,"Algar08","Control","2017-02","Algar08 2017-02",0,0,1,0,0,0,1,2017,2,28,28,1
"227",227,227,"Algar08","Control","2017-03","Algar08 2017-03",0,0,0,1,0,0,0,2017,3,31,26,0.838709677419355
"228",228,228,"Algar08","Control","2017-04","Algar08 2017-04",0,0,0,0,0,0,0,2017,4,30,5,0.166666666666667
"229",229,229,"Algar08","Control","2017-05","Algar08 2017-05",0,0,0,0,0,1,0,2017,5,31,0,0
"230",230,230,"Algar08","Control","2017-06","Algar08 2017-06",0,0,0,0,0,6,0,2017,6,30,0,0
"231",231,231,"Algar08","Control","2017-07","Algar08 2017-07",0,0,0,0,0,1,2,2017,7,31,0,0
"232",232,232,"Algar08","Control","2017-08","Algar08 2017-08",0,0,0,0,0,0,0,2017,8,31,0,0
"233",233,233,"Algar08","Control","2017-09","Algar08 2017-09",0,0,0,0,0,0,0,2017,9,30,0,0
"234",234,234,"Algar08","Control","2017-10","Algar08 2017-10",0,0,0,0,0,1,0,2017,10,31,9,0.290322580645161
"235",235,235,"Algar08","Control","2017-11","Algar08 2017-11",0,0,0,0,0,0,1,2017,11,30,30,1
"236",236,236,"Algar08","Control","2017-12","Algar08 2017-12",0,0,0,0,0,0,0,2017,12,31,31,1
"237",237,237,"Algar08","Control","2018-01","Algar08 2018-01",0,0,0,0,0,1,0,2018,1,31,31,1
"238",238,238,"Algar08","Control","2018-02","Algar08 2018-02",0,0,0,0,0,0,0,2018,2,28,28,1
"239",239,239,"Algar08","Control","2018-03","Algar08 2018-03",0,0,0,0,0,0,0,2018,3,31,31,1
"240",240,240,"Algar08","Control","2018-04","Algar08 2018-04",0,0,0,0,0,0,0,2018,4,8,8,1
